split,policy_id,claim_family,effect_size,effective_n,family_correlation,multiplicity,benchmark_count,false_license_rate,false_license_upper_95,true_license_power,abstention_rate,false_block_rate,decision_regret,coverage,license_precision,license_recall,licensed_count,true_supported_count,null_count,observation_count
POLICY_DEVELOPMENT,BALANCED,ITEM_DIAGNOSTICS,0.06,36,0.85,1,1,0.0,0.0,0.5,0.5,0.5,0.0037498551755947712,1.0,1.0,0.5,1,2,0,2
POLICY_DEVELOPMENT,BALANCED,ITEM_DIAGNOSTICS,0.06,36,0.85,12,5,0.0,0.0,0.3333333333333333,0.8333333333333334,0.6666666666666667,0.00656578949656502,0.9722222222222222,1.0,0.3333333333333333,6,18,18,36
POLICY_DEVELOPMENT,BALANCED,ITEM_DIAGNOSTICS,0.06,36,0.85,40,3,0.0,0.0,0.475,0.7625,0.525,0.03921670636030759,0.4875,1.0,0.475,19,40,40,80
POLICY_DEVELOPMENT,BALANCED,ITEM_DIAGNOSTICS,0.06,96,0.45,1,1,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0,1,0,1
POLICY_DEVELOPMENT,BALANCED,ITEM_DIAGNOSTICS,0.06,96,0.45,1,3,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0,2,0,2
POLICY_DEVELOPMENT,BALANCED,ITEM_DIAGNOSTICS,0.06,96,0.45,12,5,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0,12,12,24
POLICY_DEVELOPMENT,BALANCED,ITEM_DIAGNOSTICS,0.06,96,0.45,40,3,0.0,0.0,0.0,1.0,1.0,0.0,0.725,0.0,0.0,0,20,20,40
POLICY_DEVELOPMENT,BALANCED,ITEM_DIAGNOSTICS,0.06,96,0.45,40,5,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0,20,20,40
POLICY_DEVELOPMENT,BALANCED,ITEM_DIAGNOSTICS,0.06,96,0.85,1,5,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0,1,0,1
POLICY_DEVELOPMENT,BALANCED,ITEM_DIAGNOSTICS,0.06,96,0.85,12,3,0.0,0.0,0.5,0.75,0.5,0.005541659784338783,0.7916666666666666,1.0,0.5,6,12,12,24
POLICY_DEVELOPMENT,BALANCED,ITEM_DIAGNOSTICS,0.06,96,0.85,40,1,0.0,0.0,0.6666666666666666,0.6666666666666667,0.33333333333333337,0.007297281834270078,0.9833333333333333,1.0,0.6666666666666666,40,60,60,120
POLICY_DEVELOPMENT,BALANCED,PRIMARY_PAIRWISE,0.0,12,0.05,1,1,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0,0,1,1
POLICY_DEVELOPMENT,BALANCED,PRIMARY_PAIRWISE,0.0,12,0.05,1,5,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0,0,1,1
POLICY_DEVELOPMENT,BALANCED,PRIMARY_PAIRWISE,0.0,12,0.05,12,3,0.0,0.0,0.0,1.0,1.0,0.0,0.75,0.0,0.0,0,0,24,24
POLICY_DEVELOPMENT,BALANCED,PRIMARY_PAIRWISE,0.0,12,0.05,40,1,0.0,0.0,0.0,1.0,1.0,0.0,0.8416666666666667,0.0,0.0,0,0,120,120
POLICY_DEVELOPMENT,BALANCED,PRIMARY_PAIRWISE,0.0,12,0.45,1,1,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0,1,1
POLICY_DEVELOPMENT,BALANCED,PRIMARY_PAIRWISE,0.0,12,0.45,1,3,0.0,0.0,0.0,1.0,1.0,0.0,0.6666666666666666,0.0,0.0,0,0,3,3
POLICY_DEVELOPMENT,BALANCED,PRIMARY_PAIRWISE,0.0,12,0.45,12,1,0.0,0.0,0.0,1.0,1.0,0.0,0.9166666666666666,0.0,0.0,0,0,12,12
POLICY_DEVELOPMENT,BALANCED,PRIMARY_PAIRWISE,0.0,12,0.45,12,5,0.0,0.0,0.0,1.0,1.0,0.0,0.75,0.0,0.0,0,0,12,12
POLICY_DEVELOPMENT,BALANCED,PRIMARY_PAIRWISE,0.0,12,0.45,40,5,0.0,0.0,0.0,1.0,1.0,0.0,0.825,0.0,0.0,0,0,40,40
POLICY_DEVELOPMENT,BALANCED,PRIMARY_PAIRWISE,0.0,36,0.05,1,3,0.0,0.0,0.0,1.0,1.0,0.0,0.6666666666666666,0.0,0.0,0,0,3,3
POLICY_DEVELOPMENT,BALANCED,PRIMARY_PAIRWISE,0.0,36,0.05,12,1,0.0,0.0,0.0,1.0,1.0,0.0,0.9166666666666666,0.0,0.0,0,0,12,12
POLICY_DEVELOPMENT,BALANCED,PRIMARY_PAIRWISE,0.0,36,0.05,40,1,0.0,0.0,0.0,1.0,1.0,0.0,0.85,0.0,0.0,0,0,40,40
POLICY_DEVELOPMENT,BALANCED,PRIMARY_PAIRWISE,0.0,36,0.05,40,5,0.0,0.0,0.0,1.0,1.0,0.0,0.95,0.0,0.0,0,0,40,40
POLICY_DEVELOPMENT,BALANCED,PRIMARY_PAIRWISE,0.0,36,0.45,1,1,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0,0,2,2
POLICY_DEVELOPMENT,BALANCED,PRIMARY_PAIRWISE,0.0,36,0.45,12,3,0.0,0.0,0.0,1.0,1.0,0.0,0.9166666666666666,0.0,0.0,0,0,12,12
POLICY_DEVELOPMENT,BALANCED,PRIMARY_PAIRWISE,0.0,36,0.45,12,5,0.0,0.0,0.0,1.0,1.0,0.0,0.8333333333333334,0.0,0.0,0,0,24,24
POLICY_DEVELOPMENT,BALANCED,PRIMARY_PAIRWISE,0.0,36,0.45,40,1,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0,0,40,40
POLICY_DEVELOPMENT,BALANCED,PRIMARY_PAIRWISE,0.0,36,0.45,40,3,0.0,0.0,0.0,1.0,1.0,0.0,0.85,0.0,0.0,0,0,40,40
POLICY_DEVELOPMENT,BALANCED,PRIMARY_PAIRWISE,0.0,96,0.05,1,1,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0,0,2,2
POLICY_DEVELOPMENT,BALANCED,PRIMARY_PAIRWISE,0.0,96,0.05,1,3,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0,0,1,1
POLICY_DEVELOPMENT,BALANCED,PRIMARY_PAIRWISE,0.0,96,0.05,12,5,0.0,0.0,0.0,1.0,1.0,0.0,0.9444444444444444,0.0,0.0,0,0,36,36
POLICY_DEVELOPMENT,BALANCED,PRIMARY_PAIRWISE,0.0,96,0.05,40,3,0.0,0.0,0.0,1.0,1.0,0.0,0.9,0.0,0.0,0,0,40,40
POLICY_DEVELOPMENT,BALANCED,PRIMARY_PAIRWISE,0.0,96,0.45,1,3,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0,0,2,2
POLICY_DEVELOPMENT,BALANCED,PRIMARY_PAIRWISE,0.0,96,0.45,12,3,0.0,0.0,0.0,1.0,1.0,0.0,0.8333333333333334,0.0,0.0,0,0,12,12
POLICY_DEVELOPMENT,BALANCED,PRIMARY_PAIRWISE,0.0,96,0.45,40,1,0.0,0.0,0.0,1.0,1.0,0.0,0.8083333333333333,0.0,0.0,0,0,120,120
POLICY_DEVELOPMENT,BALANCED,PRIMARY_PAIRWISE,0.025,12,0.05,1,1,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0,1,0,1
POLICY_DEVELOPMENT,BALANCED,PRIMARY_PAIRWISE,0.025,12,0.05,12,3,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0,6,6,12
POLICY_DEVELOPMENT,BALANCED,PRIMARY_PAIRWISE,0.025,12,0.05,12,5,0.0,0.0,0.0,1.0,1.0,0.0,0.8333333333333334,0.0,0.0,0,12,12,24
POLICY_DEVELOPMENT,BALANCED,PRIMARY_PAIRWISE,0.025,12,0.05,40,1,0.0,0.0,0.0,1.0,1.0,0.0,0.9333333333333333,0.0,0.0,0,60,60,120
POLICY_DEVELOPMENT,BALANCED,PRIMARY_PAIRWISE,0.025,12,0.85,1,1,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0,1,0,1
