stage,estimand,effect_size,model_count,family_count,models_per_family,family_correlation,benchmark_count,item_count,measurement_error,transport_heterogeneity,held_out_benchmark,held_out_family,simulated_standard_error,power,monte_carlo_se,power_ci_lower,power_ci_upper,target_power,design_adequacy,evidence_role
S3,MODEL_BENCHMARK_INTERACTION,0.01,11,9,1.2222222222222223,0.5,3,1319,0.1,0.2,ROTATING_LOBO,ROTATING_LOFO,0.018257418583505537,0.1,0.01341640786499874,0.07370384058460247,0.12629615941539754,0.8,UNDERPOWERED,PLANNING_SIMULATION_ONLY
S3,MODEL_BENCHMARK_INTERACTION,0.02,11,9,1.2222222222222223,0.5,3,1319,0.1,0.2,ROTATING_LOBO,ROTATING_LOFO,0.018257418583505537,0.172,0.0168769665520792,0.13892114555792476,0.20507885444207521,0.8,UNDERPOWERED,PLANNING_SIMULATION_ONLY
S3,MODEL_BENCHMARK_INTERACTION,0.03,11,9,1.2222222222222223,0.5,3,1319,0.1,0.2,ROTATING_LOBO,ROTATING_LOFO,0.018257418583505537,0.362,0.021492138097453217,0.31987540932899167,0.4041245906710083,0.8,UNDERPOWERED,PLANNING_SIMULATION_ONLY
S3,FAMILY_BENCHMARK_INTERACTION,0.01,11,9,1.2222222222222223,0.5,3,1319,0.1,0.2,ROTATING_LOBO,ROTATING_LOFO,0.019245008972987525,0.098,0.013296315279053818,0.07193922205305452,0.12406077794694549,0.8,UNDERPOWERED,PLANNING_SIMULATION_ONLY
S3,FAMILY_BENCHMARK_INTERACTION,0.02,11,9,1.2222222222222223,0.5,3,1319,0.1,0.2,ROTATING_LOBO,ROTATING_LOFO,0.019245008972987525,0.16,0.016395121225535356,0.12786556239795072,0.1921344376020493,0.8,UNDERPOWERED,PLANNING_SIMULATION_ONLY
S3,FAMILY_BENCHMARK_INTERACTION,0.03,11,9,1.2222222222222223,0.5,3,1319,0.1,0.2,ROTATING_LOBO,ROTATING_LOFO,0.019245008972987525,0.36,0.02146625258399798,0.317926144935364,0.402073855064636,0.8,UNDERPOWERED,PLANNING_SIMULATION_ONLY
S3,DIAGNOSTIC_TRANSPORT_EFFECT,0.01,11,9,1.2222222222222223,0.5,3,1319,0.1,0.2,ROTATING_LOBO,ROTATING_LOFO,0.05590169943749475,0.056,0.010282412168358162,0.035846472150018,0.076153527849982,0.8,UNDERPOWERED,PLANNING_SIMULATION_ONLY
S3,DIAGNOSTIC_TRANSPORT_EFFECT,0.02,11,9,1.2222222222222223,0.5,3,1319,0.1,0.2,ROTATING_LOBO,ROTATING_LOFO,0.05590169943749475,0.058,0.010453324829928513,0.03751148333334012,0.07848851666665989,0.8,UNDERPOWERED,PLANNING_SIMULATION_ONLY
S3,DIAGNOSTIC_TRANSPORT_EFFECT,0.03,11,9,1.2222222222222223,0.5,3,1319,0.1,0.2,ROTATING_LOBO,ROTATING_LOFO,0.05590169943749475,0.078,0.011992997957141493,0.054493724004002674,0.10150627599599732,0.8,UNDERPOWERED,PLANNING_SIMULATION_ONLY
S3,TOP_K_DECISION_STABILITY,0.01,11,9,1.2222222222222223,0.5,3,1319,0.1,0.2,ROTATING_LOBO,ROTATING_LOFO,0.011797090676814975,0.144,0.01570121014444428,0.1132256281168892,0.1747743718831108,0.8,UNDERPOWERED,PLANNING_SIMULATION_ONLY
S3,TOP_K_DECISION_STABILITY,0.02,11,9,1.2222222222222223,0.5,3,1319,0.1,0.2,ROTATING_LOBO,ROTATING_LOFO,0.011797090676814975,0.404,0.021944657664224338,0.3609884709781203,0.44701152902187974,0.8,UNDERPOWERED,PLANNING_SIMULATION_ONLY
